amount,frequency,new_device,unknown_location,risk
500,1,0,0,0
1200,2,0,0,0
2500,2,0,0,0
5000,3,0,0,0
8000,4,0,0,0
10000,2,1,0,0
15000,5,1,0,1
18000,6,1,0,1
20000,5,1,1,1
25000,7,1,0,1
30000,8,1,1,1
35000,6,1,1,1
40000,8,1,1,1
45000,9,1,1,1
50000,10,1,1,1
55000,11,1,1,1
60000,12,1,1,1
65000,13,1,1,1
70000,14,1,1,1
75000,15,1,1,1
90000,18,1,1,1
100000,20,1,1,1
3000,1,0,0,0
7000,2,0,0,0
11000,3,0,0,0
16000,4,0,0,0
22000,5,0,0,0
28000,6,0,0,1
33000,7,1,0,1
38000,8,1,1,1
42000,9,1,1,1
48000,10,1,1,1
52000,11,1,1,1
58000,12,1,1,1
62000,13,1,1,1
68000,14,1,1,1
72000,15,1,1,1
80000,16,1,1,1
